	wt_d0._vs_TET3KO_d0._CI.L	wt_d0._vs_TET3KO_d0._CI.R	wt_d0._vs_TET3KO_d0._diff	wt_d0._vs_TET3KO_d0._p.adj	wt_d0._vs_TET3KO_d0._p.val	Protein.Group	Protein.Ids	Protein.Names	First.Protein.Description
BCL2L12	-0.567465389059192	0.0457332597596768	-0.260866064649758	0.659551600408608	0.093513049687722	Q9HB09	Q9HB09;M0R1Z8;I6LJZ9;M0QZM6;A0A087WSV0;I6LJZ7	B2L12_HUMAN	Bcl-2-like protein 12
BCL2L13	-0.6917542241469	0.105322095134542	-0.293216064506179	0.702032620144552	0.145441611696557	Q9BXK5	Q9BXK5;A0A0A0MR90;F6VJB4;E9PDD6;F2Z2C3;A0A087WW80	B2L13_HUMAN	Bcl-2-like protein 13
BCL7A	-0.900050443875737	0.109218314554236	-0.395416064660751	0.685115059209774	0.12159484858498	Q4VC05	Q8WUZ0;Q9BQE9;Q4VC05;F8WDZ4;I3L4D5;F8WE18;F2Z3H6;I3L1Q2	BCL7A_HUMAN	B-cell CLL/lymphoma 7 protein family member A
BCL9	-0.0354473296603096	1.7533541465336	0.858953408436644	0.613441666517097	0.0593907439202788	O00512	O00512	BCL9_HUMAN	B-cell CLL/lymphoma 9 protein
BCL9L	-0.847752151558387	1.21822002224548	0.185233935343547	0.83363954883792	0.719793308784646	Q86UU0	Q86UU0;A0A087WZX0	BCL9L_HUMAN	B-cell CLL/lymphoma 9-like protein
BCLAF1	-0.690670097682952	0.205337968369106	-0.242666064656923	0.76049288290842	0.281262407597599	Q9NYF8	Q9NYF8;E9PK91;A0A1W2PQ43;E9PJA7;E9PK09;E9PKI6;E9PQN2	BCLF1_HUMAN	Bcl-2-associated transcription factor 1
BCLAF3	-2.44621084608851	-1.01487128306968	-1.7305410645791	0.0410141762165704	1.36860488135691e-05	A2AJT9	A2AJT9	BCLA3_HUMAN	BCLAF1 and THRAP3 family member 3
BCOR	-0.855598832850013	0.740216703713415	-0.0576910645682993	0.848481903753344	0.884923654262708	Q6W2J9	Q6W2J9;H7C231;H7C2V9	BCOR_HUMAN	BCL-6 corepressor
BCORL1	7.09294926440739	15.9402693456912	11.5166093050493	0.0233511484978198	3.90133045701943e-06	Q5H9F3	Q5H9F3;A0A075B6Q3	BCORL_HUMAN	BCL-6 corepressor-like protein 1
BCR	-0.273580618359946	0.264898489612529	-0.0043410643737082	0.855324819283379	0.974250215174238	P11274	P11274	BCR_HUMAN	Breakpoint cluster region protein
BCS1L	-1.40748265416281	-0.388049475594033	-0.897766064878422	0.19817814193788	0.000913523157168	Q9Y276	Q9Y276;C9J1S9;C9J8G3	BCS1_HUMAN	Mitochondrial chaperone BCS1
BDH1	-0.918688945042803	-0.0641931842477983	-0.491441064645301	0.521136268719764	0.0251075590782654	Q02338	Q02338;E9PCG9;H7C2W1;C9K0G7	BDH_HUMAN	"""D-beta-hydroxybutyrate dehydrogenase, mitochondrial"""
BDH2	-0.214235158875678	0.400403029540815	0.0930839353325688	0.813097311926141	0.545075548816596	Q9BUT1	Q9BUT1;D6RBF6;D6R9U8;D6RIR6;D6RFG2	BDH2_HUMAN	3-hydroxybutyrate dehydrogenase type 2
BDP1	7.02011558700938	15.8743795968049	11.4472475919071	0.0245808185458362	4.4021330907175e-06	A6H8Y1	A6H8Y1;A0A0G2JNU3;H7C5U4	BDP1_HUMAN	Transcription factor TFIIIB component B'' homolog
BECN1	-0.289485761284014	1.09615363168716	0.403333935201573	0.749570235391167	0.247302762874396	Q14457	Q14457;K7ELY9;E7EV84	BECN1_HUMAN	Beclin-1
BEND3	-1.03723986327214	-0.197392266126409	-0.617316064699274	0.344518464170037	0.0048612173437641	Q5T5X7	Q5T5X7	BEND3_HUMAN	BEN domain-containing protein 3
BEND4	-5.27431833493825	3.04988620574569	-1.11221606459628	0.819437350659013	0.593248044179791	Q6ZU67	Q6ZU67;A0A0C4DGA9	BEND4_HUMAN	BEN domain-containing protein 4
BEND5	-0.235719609541541	8.3435865717181	4.05393348108828	0.62022194212117	0.0634059282416086	Q7L4P6	Q7L4P6	BEND5_HUMAN	BEN domain-containing protein 5
BET1L	9.97669102552411	22.3088439588195	16.1427674921718	0.0223656103232197	3.53154244719164e-06	Q9NYM9	Q9NYM9;E9PHY4;A0A0C4DH16;B8ZZS0;H7BXT7	BET1L_HUMAN	BET1-like protein
BHMT	-1.51753088593222	-0.561751243161589	-1.0396410645469	0.0795583252350068	6.81406725937586e-05	Q93088	Q93088;E5RJH0	BHMT1_HUMAN	Betaine--homocysteine S-methyltransferase 1
BICD1	-0.565983781327196	0.115751652699329	-0.225116064313934	0.726597889522397	0.190289455797083	Q96G01	Q96G01;A8MVZ6	BICD1_HUMAN	Protein bicaudal D homolog 1
BICD2	-0.297512067987774	0.39782993904054	0.0501589355263832	0.838778579501274	0.772816688896522	Q8TD16	Q8TD16	BICD2_HUMAN	Protein bicaudal D homolog 2
BICRA	-0.377201495093017	0.337519365874313	-0.0198410646093521	0.850590199580778	0.91150273543093	Q9NZM4	Q9NZM4;A0A087WWH3	BICRA_HUMAN	BRD4-interacting chromatin-remodeling complex-associated protein
BID	-1.04599492698919	-0.0482372021581632	-0.547116064573675	0.548612347042413	0.0323035841318426	P55957	P55957	BID_HUMAN	BH3-interacting domain death agonist
BIN1	-0.460502187721685	0.69487005818714	0.117183935232728	0.830026974829458	0.684940174413966	O00499	O00499	BIN1_HUMAN	Myc box-dependent-interacting protein 1
BIN3	-6.52823847518031	5.04575634601516	-0.741241064582571	0.841057646053331	0.797694020293386	Q9NQY0	Q9NQY0;H7BYV6	BIN3_HUMAN	Bridging integrator 3
BIRC2	-0.558972017464317	0.278739888371856	-0.14011606454623	0.80717437050062	0.50409645060905	Q13490	Q13490;E9PI77;E9PMH5	BIRC2_HUMAN	Baculoviral IAP repeat-containing protein 2
BIRC5	8.85296148784302	17.2423728137006	13.0476671507718	0.003988987310278	1.17157098519652e-07	O15392	O15392;A0A0B4J1S3;H3BLT4	BIRC5_HUMAN	Baculoviral IAP repeat-containing protein 5
BIRC6	-0.938922795001276	-0.0014593346053704	-0.470191064803323	0.593965253054237	0.0493199668134752	Q9NR09	Q9NR09	BIRC6_HUMAN	Baculoviral IAP repeat-containing protein 6
BLM	-3.01676292979092	3.66793080042616	0.325583935317624	0.845221049915673	0.845413886053589	P54132	P54132;A0A3B3IT82	BLM_HUMAN	Bloom syndrome protein
BLMH	-0.395029277446503	0.335447148132189	-0.0297910646571573	0.847293951760361	0.87030761545314	Q13867	Q13867;K7ES02;J3KSD8	BLMH_HUMAN	Bleomycin hydrolase
BLOC1S1	-0.0142863114417892	0.873454181997228	0.429583935277719	0.610107256609403	0.0575188417842043	P78537	P78537;F8W099;G8JLQ3;A0A087WSV2;F8W606;F8W036;F8VP73	BL1S1_HUMAN	Biogenesis of lysosome-related organelles complex 1 subunit 1
BLOC1S2	10.8141313657947	20.8035091595249	15.8088202626598	0.0032028747084255	8.00735646411656e-08	Q6QNY1	Q6QNY1	BL1S2_HUMAN	Biogenesis of lysosome-related organelles complex 1 subunit 2
BLOC1S3	-0.553207924042284	0.306175794398429	-0.123516064821928	0.815884613787849	0.565679078122592	Q6QNY0	Q6QNY0	BL1S3_HUMAN	Biogenesis of lysosome-related organelles complex 1 subunit 3
BLOC1S4	-0.912514147672794	-0.0983179815349194	-0.505416064603857	0.472248814807508	0.0160853567631349	Q9NUP1	Q9NUP1	BL1S4_HUMAN	Biogenesis of lysosome-related organelles complex 1 subunit 4
BLOC1S5	6.39769972365317	20.4356577942215	13.4166787589373	0.147836118743778	0.0003656235572383	Q8TDH9	Q8TDH9;H3BN57	BL1S5_HUMAN	Biogenesis of lysosome-related organelles complex 1 subunit 5
BLOC1S6	-1.86641390239307	-0.605587401502185	-1.23600065194763	0.133325288348739	0.0002691414999526	Q9UL45	Q9UL45;H3BST1;H3BN13;H3BPR6	BL1S6_HUMAN	Biogenesis of lysosome-related organelles complex 1 subunit 6
BLVRA	-0.483441203104613	0.349859073926021	-0.066791064589296	0.836462678116064	0.748405809689511	P53004	P53004	BIEA_HUMAN	Biliverdin reductase A
BLVRB	-0.0479139808096461	0.735731851703328	0.343908935446841	0.648750265923808	0.0839059887628916	P30043	P30043;M0R192;A0A2R8YEP4;A0A2R8Y7Y9;M0QZL1	BLVRB_HUMAN	Flavin reductase (NADPH)
BLZF1	-9.99796027843766	1.89149348905642	-4.05323339469062	0.719869105463464	0.176587755402672	Q9H2G9	Q9H2G9;Q5T532	GO45_HUMAN	Golgin-45
BMERB1	11.4628246896163	20.2140920964601	15.8384583930382	0.0004236102927379	3.3856618524003804e-09	Q96MC5	Q96MC5;H3BRF6;H3BUY6;H3BR56;H3BU79	MERB1_HUMAN	bMERB domain-containing protein 1
BMP1	-2.79675376601587	2.79675376601587	0.0	0.857178666832875	1.0	P13497	P13497	BMP1_HUMAN	Bone morphogenetic protein 1
BMP2K	11.6487800076777	23.0418004891323	17.345290248405	0.0051249254636298	1.84999660332264e-07	Q9NSY1	Q9NSY1;H0Y9P1	BMP2K_HUMAN	BMP-2-inducible protein kinase
BMP7	-5.51204909933058	5.04377977769212	-0.23413466081923	0.851961512182404	0.929236681691677	P18075	P18075;H0Y4B5;B1AL00	BMP7_HUMAN	Bone morphogenetic protein 7
BMPER	-2.65955742885677	2.65955742885676	-2.66453525910038e-15	0.857178666832875	0.999999999999998	Q8N8U9	Q8N8U9;A0A3B3ITW7;A0A3B3ISN0;A0A3B3IUC5;A0A3B3IRP7;A0A3B3IRM9;A0A3B3IUD9;A0A3B3ISL7;A0A3B3IS51;A0A3B3ITY4;A0A3B3ITD3;A0A3B3ITZ8;A0A3B3ISK6;A0A3B3IT71	BMPER_HUMAN	BMP-binding endothelial regulator protein
BMPR2	-2.55214232666077	2.55214232666077	1.5543122344752201e-15	0.857178666832875	0.999999999999999	Q13873	Q13873;A0A1W2PPB5	BMPR2_HUMAN	Bone morphogenetic protein receptor type-2
BMS1	-0.190416024566303	0.388133895493446	0.0988589354635714	0.805780229062201	0.494975233360405	Q14692	Q14692	BMS1_HUMAN	Ribosome biogenesis protein BMS1 homolog
BNIP1	-0.223784491887707	0.828202362705647	0.30220893540897	0.751672519046342	0.253449901737679	Q12981	Q12981	SEC20_HUMAN	Vesicle transport protein SEC20
BNIP2	-3.80463058861356	2.90198879934052	-0.45132089463652	0.840148944726297	0.787671716977581	Q12982	Q12982;J3KN59;H7C096	BNIP2_HUMAN	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2
BNIP3	-3.05079715318841	3.0507971531884	-3.5527136788005e-15	0.857178666832875	0.999999999999998	Q12983	Q12983;F6RP06;A0A0J9YW18	BNIP3_HUMAN	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
BOD1L1	-1.164836963444	1.45287215041697	0.144017593486485	0.843532380056571	0.82569743676999	H0Y9Y2	H0Y9Y2	H0Y9Y2_HUMAN	Biorientation of chromosomes in cell division protein 1-like 1 (Fragment)
BOD1L1	-0.191089192412671	0.404457062892009	0.106683935239669	0.802533394988974	0.474463605096675	Q8NFC6	Q8NFC6	BD1L1_HUMAN	Biorientation of chromosomes in cell division protein 1-like 1
BOK	-9.02991353599805	6.1400412427718	-1.44493614661312	0.831939682755941	0.703152617182405	Q9UMX3	Q9UMX3	BOK_HUMAN	Bcl-2-related ovarian killer protein
BOLA1	-1.03424038422591	0.0519582546383833	-0.491141064793766	0.637724100986816	0.0752203833925842	Q9Y3E2	Q9Y3E2	BOLA1_HUMAN	BolA-like protein 1
BOLA2	-0.300182294127072	0.485100164919263	0.0924589353960954	0.824792409089107	0.637750448169961	Q9H3K6	Q9H3K6;A0A087WZT3	BOLA2_HUMAN	BolA-like protein 2
BOP1	-0.595051857030929	-0.149330272100828	-0.372191064565879	0.23886404428154	0.0015669472911713	Q14137	Q14137	BOP1_HUMAN	Ribosome biogenesis protein BOP1
BORCS5	-0.0408300433050107	1.58821980162861	0.773694879161802	0.618098491136381	0.0621173640622383	Q969J3	Q969J3;G3V1P3	BORC5_HUMAN	BLOC-1-related complex subunit 5
BORCS6	-0.56668944900399	0.191857319489054	-0.187416064757468	0.772512102873444	0.325109985935608	Q96GS4	Q96GS4	BORC6_HUMAN	BLOC-1-related complex subunit 6
BORCS7	-0.873732580070161	0.259500451025864	-0.307116064522148	0.760399364834347	0.280949392479909	Q96B45	Q96B45;A0A0B4J1R7	BORC7_HUMAN	BLOC-1-related complex subunit 7
BORCS8	-1.05435123262257	0.146419103409308	-0.453966064606632	0.694947065559355	0.134856926544518	Q96FH0	Q96FH0;K7ENY0	BORC8_HUMAN	BLOC-1-related complex subunit 8
BPGM	-1.75120615608199	-0.274125972954312	-1.01266606451815	0.399975348690047	0.0082705147289112	P07738	P07738	PMGE_HUMAN	Bisphosphoglycerate mutase
BPHL	-0.368730344366566	0.546748214783134	0.0890089352082839	0.831331429110131	0.697302828949125	Q86WA6	Q86WA6;Q49AI2;B4DML3	BPHL_HUMAN	Valacyclovir hydrolase
BPNT1	0.0773053928846199	0.576462478232051	0.326883935558335	0.434464448742606	0.011386898427237	O95861	O95861;F8VZG4;F8VVW8;A6NF51;F8W1J0	BPNT1_HUMAN	"""3'(2'),5'-bisphosphate nucleotidase 1"""
BPNT2	-0.308877942510103	0.876695813254105	0.283908935372001	0.776184002030081	0.340065357692741	Q9NX62	Q9NX62	IMPA3_HUMAN	"""Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase"""
BPTF	-0.16772130549698	0.357539176137568	0.0949089353202943	0.801913900515829	0.470662852103807	Q12830	Q12830;F5GXF5	BPTF_HUMAN	Nucleosome-remodeling factor subunit BPTF
BRAF	-1.89970207568427	-0.292214986159026	-1.09595853092165	0.404256169991764	0.0086082871385761	P15056	P15056;A0A2U3TZI2	BRAF_HUMAN	Serine/threonine-protein kinase B-raf
BRAP	-0.724268332077382	-0.186663797190374	-0.455466064633878	0.227059553381811	0.001358467583273	Q7Z569	Q7Z569;J3KNN7	BRAP_HUMAN	BRCA1-associated protein
BRAT1	-0.797044727974302	0.0388625988252608	-0.379091064574521	0.636592736434925	0.0743872391769951	Q6PJG6	Q6PJG6	BRAT1_HUMAN	BRCA1-associated ATM activator 1
BRCA2	-6.14868507548858	4.26577371930838	-0.941455678090097	0.833416412530253	0.717584121846581	P51587	P51587	BRCA2_HUMAN	Breast cancer type 2 susceptibility protein
BRCC3	-0.11460484760689	0.446822717984793	0.166108935188952	0.74689385927885	0.239726621406047	P46736	P46736;A0A0A0MS96;X6RJS7	BRCC3_HUMAN	Lys-63-specific deubiquitinase BRCC36
BRD1	-0.688236667775582	-0.0404954616068256	-0.364366064691204	0.534197000599534	0.0282947821983493	O95696	O95696;J3KQ61	BRD1_HUMAN	Bromodomain-containing protein 1
BRD2	-0.497741467630638	0.0508093383111313	-0.223466064659753	0.673525561933371	0.107827090511059	P25440	P25440;A0A0G2JK44;H0Y6K2;A0A140T9E9;A0A0G2JHN8;A0A140T9I1	BRD2_HUMAN	Bromodomain-containing protein 2
BRD3	-0.415589938441666	0.571707809658616	0.0780589356084747	0.836780777759015	0.751707878593634	Q15059	Q15059	BRD3_HUMAN	Bromodomain-containing protein 3
BRD4	-0.306283067597764	0.348450938328018	0.0210839353651266	0.849481154717511	0.897418370436875	O60885	O60885	BRD4_HUMAN	Bromodomain-containing protein 4
BRD7	-0.509199270871144	0.135367141534837	-0.186916064668154	0.750176801937274	0.249058365171275	Q9NPI1	Q9NPI1	BRD7_HUMAN	Bromodomain-containing protein 7
BRD8	-0.445729072847091	0.445729072847094	1.5543122344752201e-15	0.857178666832875	0.999999999999994	B5MCW3	B5MCW3	B5MCW3_HUMAN	Bromodomain-containing protein 8
BRD8	-0.170302647891621	0.690620517749462	0.260158934928921	0.743305977014985	0.229990238668014	Q9H0E9	Q9H0E9;F8WBH2;H7C127;H7C128;H7C179;B5MCW3	BRD8_HUMAN	Bromodomain-containing protein 8
BRD9	0.442019582271424	1.60652214313458	1.024270862703	0.199024822037669	0.0009253441381936	Q9H8M2	Q9H8M2;H0YBF1;H0YBR9;H0YAW8	BRD9_HUMAN	Bromodomain-containing protein 9
BRF1	-2.15217794686922	-0.173542113860982	-1.1628600303651	0.507890716822241	0.0222499826795164	Q92994	Q92994	TF3B_HUMAN	Transcription factor IIIB 90 kDa subunit
BRF2	-1.62307478936082	0.277750615377857	-0.67266208699148	0.711447141086641	0.161013243911913	Q9HAW0	Q9HAW0	BRF2_HUMAN	Transcription factor IIIB 50 kDa subunit
BRI3BP	-4.07882944772565	3.3639473184885	-0.357441064618577	0.845401180456987	0.847546659599894	Q8WY22	Q8WY22;A0A5F9ZHY7	BRI3B_HUMAN	BRI3-binding protein
BRINP1	-3.89431143005914	3.89431143005913	-1.77635683940025e-15	0.857178666832875	0.999999999999999	O60477	O60477	BRNP1_HUMAN	BMP/retinoic acid-inducible neural-specific protein 1
BRIP1	4.46997997605495	19.3661671404068	11.9180735582309	0.274228068033889	0.0023469815080496	Q9BX63	Q9BX63;J3QKX0	FANCJ_HUMAN	Fanconi anemia group J protein
BRIX1	-0.469919480302588	0.475337350933325	0.0027089353153684	0.856525085560141	0.990844900019893	Q8TDN6	Q8TDN6	BRX1_HUMAN	Ribosome biogenesis protein BRX1 homolog
BRK1	0.101577886566799	1.13148998425176	0.616533935409279	0.496241828289882	0.0200107497812438	Q8WUW1	Q8WUW1	BRK1_HUMAN	Protein BRICK1
BRMS1	-22.633965186441	-10.7779391716382	-16.7059521790396	0.0116828597471728	8.92201436687466e-07	Q9HCU9	Q9HCU9;E9PJF5;G5E9I4;E9PPD1;H0YCF7	BRMS1_HUMAN	Breast cancer metastasis-suppressor 1
BRMS1L	-0.2096421712225	0.654460042071046	0.222408935424273	0.767396605415014	0.305536955184918	Q5PSV4	Q5PSV4;H0YHD0	BRM1L_HUMAN	Breast cancer metastasis-suppressor 1-like protein
BROX	-1.26464040100785	1.43573313186134	0.0855463654267439	0.849612512456292	0.899074602732528	Q5VW32	Q5VW32;F5GXQ0;Q5VW33	BROX_HUMAN	BRO1 domain-containing protein BROX
BRPF1	-5.04233875599003	2.11490057502017	-1.46371909048493	0.792034991773879	0.414585996773351	P55201	P55201;A0A5F9ZHW9;A0A5F9ZHX4;A0A5F9ZH11	BRPF1_HUMAN	Peregrin
BRPF3	-0.39564366806141	1.06631153875206	0.335333935345325	0.780933391215415	0.360618078124431	Q9ULD4	Q9ULD4;E9PI60;F6XDC4;H0Y7B4;E9PSF3	BRPF3_HUMAN	Bromodomain and PHD finger-containing protein 3
BRSK1	-1.05930663918176	0.500974172780573	-0.279166233200595	0.802619230654671	0.47499303141087	Q8TDC3	Q8TDC3;J3KNK0	BRSK1_HUMAN	Serine/threonine-protein kinase BRSK1
BRSK2	-0.552725456197366	0.354643327027781	-0.0990410645847923	0.827581101741452	0.662417482544732	Q8IWQ3	Q8IWQ3;A0A0C4DGH9;H0YES6	BRSK2_HUMAN	Serine/threonine-protein kinase BRSK2
BRWD1	-1.02237476354056	-0.270057365359389	-0.646216064449973	0.215954306597991	0.0011825816044881	Q9NSI6	Q9NSI6;H0Y463;H7BZR9	BRWD1_HUMAN	Bromodomain and WD repeat-containing protein 1
BRWD3	-1.68322325039295	0.036691121013106	-0.823266064689921	0.614792913772581	0.060168176882844	Q6RI45	Q6RI45	BRWD3_HUMAN	Bromodomain and WD repeat-containing protein 3
BSCL2	-4.83395166704647	4.83395166704647	0.0	0.857178666832875	1.0	E9PIU3;E9PJK0;E9PSB5;H7BXM1;J3KQ12	E9PIU3;J3KQ12;E9PSB5;H7BXM1;E9PPN5;F8WER0;E9PR78;E9PJS9;E9PJK0	E9PIU3_HUMAN;E9PJK0_HUMAN;E9PSB5_HUMAN;H7BXM1_HUMAN;J3KQ12_HUMAN	Seipin (Fragment)
BSCL2	-1.37249520838712	0.0658130791362596	-0.65334106462543	0.635972995249064	0.0739351963266879	Q96G97	Q96G97;F8W7Q8;E9PIU3;H0YF20;J3KQ12;H7BXM1	BSCL2_HUMAN	Seipin
BSDC1	-0.0722889758426374	0.595906846539647	0.261808935348505	0.685093203879586	0.121567072635761	Q9NW68	Q9NW68;E9PQA7	BSDC1_HUMAN	BSD domain-containing protein 1
BSG	-0.439193235964826	0.479011106670118	0.019908935352646	0.852082756956668	0.93082173398518	P35613	P35613;A0A087WUV8;R4GMX5;A0A087X2B5;R4GN83;I3L192	BASI_HUMAN	Basigin
BSN	-3.17007112942537	3.17007112942537	3.5527136788005e-15	0.857178666832875	0.999999999999998	Q9UPA5	Q9UPA5	BSN_HUMAN	Protein bassoon
BST1	-0.124078898555079	8.30152636634488	4.0887237338949	0.608877267390705	0.0568446690541233	Q10588	Q10588;H0Y984;A6NC48	BST1_HUMAN	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2
BST2	-3.48908683518049	3.25915470635194	-0.114966064414272	0.853204403590287	0.945617968313332	Q10589	Q10589	BST2_HUMAN	Bone marrow stromal antigen 2
BTAF1	-0.859730953505413	-0.0303011759627404	-0.445016064734077	0.560397364856374	0.036020943192796	O14981	O14981;A0A0A0MTH9	BTAF1_HUMAN	TATA-binding protein-associated factor 172
BTBD1	-0.691606303456335	0.691606303456337	8.881784197001249e-16	0.857178666832875	0.999999999999998	Q9H0C5	Q9H0C5	BTBD1_HUMAN	BTB/POZ domain-containing protein 1
BTBD10	-1.84772023763533	-0.360911891627467	-1.1043160646314	0.335970407741652	0.0044667610030114	Q9BSF8	Q9BSF8;E9PKU9;B7Z503	BTBDA_HUMAN	BTB/POZ domain-containing protein 10
BTBD11	-3.95788010989523	3.01479798065771	-0.471541064618762	0.840055591101533	0.78664989903626	A6QL63	A6QL63	BTBDB_HUMAN	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11
BTBD17	10.7387322178349	18.5020795584585	14.6204058881467	0.0002162669293417	1.22675620496027e-09	A6NE02	A6NE02	BTBDH_HUMAN	BTB/POZ domain-containing protein 17
BTBD2	-1.475956419469	0.112007490708545	-0.681974464380225	0.656334917179384	0.0905290261753625	Q9BX70	Q9H0C5;Q9BX70;K7ENV9;A0A087WXN3	BTBD2_HUMAN	BTB/POZ domain-containing protein 2
BTBD9	-14.9614398253851	-9.09239592657402	-12.0269178759796	4.52429355199779e-05	1.26408652513991e-10	Q96Q07	Q96Q07;H7C5Z6;A0A0A0MSF2;A0A0A0MSF4	BTBD9_HUMAN	BTB/POZ domain-containing protein 9
BTD	-19.91617083751	-5.30866491439206	-12.612417875951	0.211913836296348	0.0011217979053627	P43251	P43251;C9JSN9;A0A5F9ZH57;A0A5F9ZHF5;A0A2R8Y5J9;A0A5F9ZHE9;A0A5F9ZH97;A0A5F9ZHR1;A0A5F9ZH15;A0A5F9ZH80	BTD_HUMAN	Biotinidase
BTF3	12.0671145611604	21.3533865290889	16.7102505451246	0.0004665872663232	3.910260016771611e-09	D6RDG3	D6RDG3	D6RDG3_HUMAN	Transcription factor BTF3 (Fragment)
BTF3	0.158194451170978	1.04307341973185	0.600633935451416	0.40764187675046	0.0088844892564889	P20290	P20290;D6RDG3;H0Y9Y1	BTF3_HUMAN	Transcription factor BTF3
BTF3L4	0.487023675594405	2.67314419439181	1.58008393499311	0.358181321914093	0.0055557303463441	Q96K17	Q96K17;E9PL10	BT3L4_HUMAN	Transcription factor BTF3 homolog 4
BTG1	-4.985955658	4.985955658	0.0	0.857178666832875	1.0	P62324	P62324	BTG1_HUMAN	Protein BTG1
BTK	-4.74277512458773	3.16250445343879	-0.790135335574472	0.830487175326293	0.689273362198239	Q06187	Q06187;Q5JY90;U3NG26	BTK_HUMAN	Tyrosine-protein kinase BTK
BTN2A1	-0.84928306133826	0.0219509321433458	-0.413666064597457	0.618214552022579	0.0621870462027521	Q7KYR7	Q7KYR7;Q8WVV5;C9IY66;C9JNC3;H7BYC3	BT2A1_HUMAN	Butyrophilin subfamily 2 member A1
BTRC	-21.3233639443044	-4.47010451997769	-12.896734232141	0.311308143558626	0.0034802827019822	Q9Y297	Q9Y297;B7Z3H4	FBW1A_HUMAN	F-box/WD repeat-containing protein 1A
BUB1	-1.89861997711601	0.017537847713567	-0.940541064701222	0.603825644663361	0.0541646542398752	O43683	O43683;A0A590UK50	BUB1_HUMAN	Mitotic checkpoint serine/threonine-protein kinase BUB1
BUB1B	-3.91971466041435	4.94983253108595	0.515058935335798	0.842703056058168	0.816196251476269	O60566	O60566	BUB1B_HUMAN	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta
BUB3	0.196464590217084	0.795603280508302	0.496033935362693	0.245892598055558	0.0017024833110638	O43684	O43684;J3QT28	BUB3_HUMAN	Mitotic checkpoint protein BUB3
BUD13	-0.564145654623497	0.245913525470395	-0.159116064576551	0.795468204453077	0.433144449838003	Q9BRD0	Q9BRD0	BUD13_HUMAN	BUD13 homolog
BUD23	-1.19061209256045	0.16602996334786	-0.512291064606295	0.695260444070597	0.135306008080799	O43709	O43709;F8WD87;F8WD67;E9PCQ7	BUD23_HUMAN	Probable 18S rRNA (guanine-N(7))-methyltransferase
BUD31	0.0704669646968454	0.686350906109712	0.378408935403279	0.479170749549744	0.0171316368993956	P41223	P41223	BUD31_HUMAN	Protein BUD31 homolog
BYSL	-0.612749085698717	0.052816956397216	-0.27996606465075	0.663308500862671	0.0971389045019691	Q13895	Q13895	BYST_HUMAN	Bystin
BZW1	-0.569473162946782	0.120241034285474	-0.224616064330654	0.729396846787157	0.196348562046125	Q7L1Q6	Q7L1Q6;C9JV57;C9IZ80;C9JFN4;C9J188;C9JWF5	BZW1_HUMAN	Basic leucine zipper and W2 domain-containing protein 1
BZW2	-0.72006047430164	0.122028344908493	-0.299016064696573	0.710646616736454	0.159617057090629	Q9Y6E2	Q9Y6E2;E7EMS9;Q75MG1;E7ETZ4;C9JF98;E9PFE3;F8WDX8	BZW2_HUMAN	Basic leucine zipper and W2 domain-containing protein 2
C10orf120	-4.39925930560666	2.84702717659565	-0.776116064505501	0.828234715906439	0.668353580712772	Q5SQS8	Q5SQS8;H0Y758	CJ120_HUMAN	Uncharacterized protein C10orf120
C11orf54	-0.220183406625676	0.658301277595367	0.219058935484846	0.77139105760639	0.320698165453089	Q9H0W9	Q9H0W9;E9PQS1;E9PJU8;A0A1W2PRB8;E9PPB5;A0A087WT99	CK054_HUMAN	Ester hydrolase C11orf54
C11orf68	-1.03689364390768	-0.328938485471113	-0.682916064689397	0.142521818317677	0.0003273787253945	Q9H3H3	Q9H3H3	CK068_HUMAN	UPF0696 protein C11orf68
C11orf95	-14.9448896303808	-8.81610584560457	-11.8804977379927	0.0001303563632554	5.737591542633361e-10	C9JLR9	C9JLR9;A0A087WU89	CK095_HUMAN	Uncharacterized protein C11orf95
C11orf96	-2.68507791126418	11.8118753789191	4.56339873382745	0.735957091964157	0.21144779003762	Q7Z7L8	Q7Z7L8;A0A087WW59	CK096_HUMAN	Uncharacterized protein C11orf96
C11orf98	1.10045821019256	4.77110992478804	2.9357840674903	0.274515624639945	0.0023544083756747	E9PRG8	E9PRG8;A0A494BXY3;E9PLD3	CK098_HUMAN	Uncharacterized protein C11orf98
C12orf29	-3.51739990790072	3.51739990790072	-6.66133814775094e-16	0.857178666832875	1.0	Q8N999	Q8N999	CL029_HUMAN	Uncharacterized protein C12orf29
C12orf4	-19.6528768228772	-4.637244419568	-12.1450606212226	0.265180565906008	0.0021228749382062	Q9NQ89	Q9NQ89	CL004_HUMAN	Protein C12orf4
C12orf45	-0.407548852538698	0.403766723398165	-0.0018910645702661	0.856647540793705	0.992553809252513	Q8N5I9	Q8N5I9;A0A087WT30	CL045_HUMAN	Uncharacterized protein C12orf45
